Outer_Iter,Inner_Iter,deltaC_Step,C_k_Error,W_r_Error
1,1,1.136539e+00,3.067121e-01,NaN
1,2,1.058844e+00,3.067586e-01,NaN
1,3,1.004085e+00,3.066791e-01,NaN
1,4,9.552002e-01,2.798525e-01,NaN
1,5,9.232762e-01,2.613984e-01,NaN
1,6,8.949253e-01,2.456542e-01,NaN
1,7,8.666988e-01,1.488654e+00,NaN
1,8,8.146647e-01,7.859237e+01,NaN
1,9,6.526667e-01,6.937303e+00,NaN
1,10,7.037492e-01,1.552463e-01,6.981248e-03
2,1,6.470601e-01,1.310812e-01,NaN
2,2,6.189868e-01,1.198466e-01,NaN
2,3,6.042326e-01,1.141122e-01,NaN
2,4,5.806543e-01,1.052910e-01,NaN
2,5,5.702379e-01,1.014664e-01,NaN
2,6,5.591576e-01,9.747100e-02,NaN
2,7,5.491619e-01,4.406097e-02,NaN
2,8,5.343033e-01,6.947057e-01,NaN
2,9,5.095801e-01,5.454985e-01,NaN
2,10,5.042298e-01,1.152839e+00,8.880229e-03
3,1,4.746247e-01,6.971786e-02,NaN
3,2,4.744603e-01,6.968453e-02,NaN
3,3,4.667784e-01,6.744812e-02,NaN
3,4,4.653378e-01,6.702776e-02,NaN
3,5,4.605810e-01,6.565248e-02,NaN
3,6,4.576950e-01,6.484420e-02,NaN
3,7,4.564286e-01,1.807765e-02,NaN
3,8,4.504509e-01,4.727003e-02,NaN
3,9,4.504452e-01,3.041222e-02,NaN
3,10,4.543278e-01,6.391110e-02,9.384944e-03
4,1,4.487855e-01,6.234919e-02,NaN
4,2,4.452434e-01,6.140026e-02,NaN
4,3,4.366373e-01,5.900725e-02,NaN
4,4,4.339337e-01,5.828799e-02,NaN
4,5,4.350087e-01,5.858952e-02,NaN
4,6,4.305698e-01,5.741122e-02,NaN
4,7,4.291647e-01,2.002795e-02,NaN
4,8,4.230886e-01,1.418824e-01,NaN
4,9,4.277959e-01,5.665763e-02,NaN
4,10,4.137811e-01,5.358913e-02,9.183861e-03
5,1,4.160936e-01,5.358948e-02,NaN
5,2,4.121599e-01,5.254832e-02,NaN
5,3,4.080520e-01,5.151497e-02,NaN
5,4,4.066999e-01,5.118166e-02,NaN
5,5,4.077418e-01,5.147251e-02,NaN
5,6,4.026187e-01,5.016018e-02,NaN
5,7,3.983955e-01,5.059992e-02,NaN
5,8,4.035048e-01,5.043378e-02,NaN
5,9,3.967317e-01,2.553255e-02,NaN
5,10,3.910472e-01,4.694666e-02,8.890551e-03
6,1,3.945446e-01,4.822566e-02,NaN
6,2,3.854945e-01,4.602200e-02,NaN
6,3,3.800231e-01,4.470266e-02,NaN
6,4,3.783729e-01,4.431643e-02,NaN
6,5,3.778819e-01,4.420094e-02,NaN
6,6,3.773468e-01,4.409811e-02,NaN
6,7,3.727845e-01,2.801235e-02,NaN
6,8,3.742720e-01,4.338391e-02,NaN
6,9,3.751678e-01,4.361306e-02,NaN
6,10,3.673125e-01,2.955419e-02,8.676243e-03
7,1,3.623675e-01,4.060823e-02,NaN
7,2,3.608053e-01,4.024821e-02,NaN
7,3,3.668443e-01,4.165440e-02,NaN
7,4,3.676002e-01,4.182534e-02,NaN
7,5,3.653196e-01,4.131424e-02,NaN
7,6,3.563413e-01,3.929280e-02,NaN
7,7,3.563910e-01,3.930929e-02,NaN
7,8,3.506519e-01,2.117617e-02,NaN
7,9,3.506841e-01,3.805343e-02,NaN
7,10,3.532969e-01,3.868194e-02,8.071226e-03
8,1,3.487871e-01,3.767948e-02,NaN
8,2,3.470245e-01,3.730481e-02,NaN
8,3,3.503308e-01,3.800735e-02,NaN
8,4,3.419773e-01,3.622139e-02,NaN
8,5,3.428338e-01,3.639862e-02,NaN
8,6,3.521141e-01,3.844955e-02,NaN
8,7,3.378022e-01,4.281574e-02,NaN
8,8,3.395146e-01,3.571749e-02,NaN
8,9,3.315978e-01,4.219944e-02,NaN
8,10,3.358112e-01,3.496064e-02,8.104245e-03
9,1,3.384430e-01,3.549248e-02,NaN
9,2,3.383638e-01,3.547175e-02,NaN
9,3,3.337781e-01,3.452081e-02,NaN
9,4,3.336033e-01,3.449140e-02,NaN
9,5,3.314005e-01,3.403315e-02,NaN
9,6,3.370219e-01,3.523181e-02,NaN
9,7,3.261735e-01,1.660285e-02,NaN
9,8,3.254559e-01,5.915463e-03,NaN
9,9,3.248838e-01,1.159506e-03,NaN
9,10,3.221358e-01,1.281314e-02,7.166561e-03
10,1,3.361527e-01,3.506417e-02,NaN
10,2,3.146369e-01,3.066312e-02,NaN
10,3,3.166994e-01,3.108159e-02,NaN
10,4,3.140673e-01,3.054927e-02,NaN
10,5,3.145075e-01,3.064156e-02,NaN
10,6,3.102393e-01,2.982181e-02,NaN
10,7,3.095799e-01,8.671419e-03,NaN
10,8,3.115039e-01,3.006709e-02,NaN
10,9,3.238126e-01,3.253133e-02,NaN
10,10,3.070409e-01,3.364516e-02,6.770324e-03
